sintoma_1,sintoma_2,doenca_associada
dor no peito,esforço físico,Angina de Peito
cansaço constante,pernas inchadas,Insuficiência Cardíaca
falta de ar,acordar à noite,Insuficiência Cardíaca
palpitações,tontura,Arritmia Cardíaca
aperto no tórax,braço esquerdo,Infarto Agudo do Miocárdio
tontura,desmaio,Arritmia Cardíaca
pressão no peito,esforço físico,Angina de Peito
falta de ar,fadiga intensa,Insuficiência Cardíaca
coração acelerado,dor no peito,Arritmia Cardíaca
dor no peito,suor frio,Infarto Agudo do Miocárdio
dor no peito,náusea,Infarto Agudo do Miocárdio
falta de ar,inchaço,Insuficiência Cardíaca
palpitações,fraqueza,Arritmia Cardíaca
aperto no tórax,suor frio,Infarto Agudo do Miocárdio
cansaço,falta de ar,Insuficiência Cardíaca
dor no peito,irradia para o braço,Infarto Agudo do Miocárdio
pressão no peito,melhora com repouso,Angina de Peito
coração disparado,tontura,Arritmia Cardíaca
dor forte no peito,durou mais de vinte minutos,Infarto Agudo do Miocárdio
fadiga,pernas inchadas,Insuficiência Cardíaca
falta de ar,noite,Insuficiência Cardíaca
palpitações,tonto,Arritmia Cardíaca
tontura,desmaiei,Arritmia Cardíaca
tontura,fraqueza,Arritmia Cardíaca
pressão no peito,descansar,Angina de Peito
pressão no peito,escadas,Angina de Peito
dor no peito,repouso,Angina de Peito
enjoo,suor frio,Infarto Agudo do Miocárdio
palpitações,coração disparado,Arritmia Cardíaca
